sno,state_name,active,positive,cured,death,new_active,new_positive,new_cured,new_death,death_reconsille,total,state_code,actualdeath24hrs
1,Andaman and Nicobar Islands,0,10766,10637,129,0,10766,10637,129,,,35,0
2,Andhra Pradesh,0,2340673,2325940,14733,1,2340674,2325940,14733,,,28,0
3,Arunachal Pradesh,0,67049,66753,296,0,67049,66753,296,,,12,0
4,Assam,0,746150,738115,8035,0,746150,738115,8035,,,18,0
5,Bihar,1,855260,842945,12314,1,855260,842945,12314,,,10,0
6,Chandigarh,1,100692,99506,1185,2,100693,99506,1185,,,04,0
7,Chhattisgarh,1,1187691,1173500,14190,1,1187691,1173500,14190,,,22,0
8,Dadra and Nagar Haveli and Daman and Diu,0,11592,11588,4,0,11592,11588,4,,,26,0
9,Delhi,4,2040816,2014147,26665,5,2040817,2014147,26665,,,07,0
10,Goa*,8,263331,259309,4014,6,263331,259311,4014,,,30,0
11,Gujarat,8,1291363,1280276,11079,9,1291364,1280276,11079,,,24,0
12,Haryana,24,1078885,1068106,10755,24,1078885,1068106,10755,,,06,0
13,Himachal Pradesh,11,322866,318614,4241,9,322866,318616,4241,,,02,0
14,Jammu and Kashmir,1,482021,477228,4792,1,482021,477228,4792,,,01,0
15,Jharkhand,0,443825,438491,5334,0,443825,438491,5334,,,20,0
16,Karnataka,8,4088692,4048327,40357,8,4088692,4048327,40357,,,29,0
17,Kerala***,1015,6907105,6834145,71945,1015,6907109,6834148,71946,,1,32,1
18,Ladakh,0,29587,29356,231,0,29587,29356,231,,,37,0
19,Lakshadweep,0,11415,11363,52,0,11415,11363,52,,,31,0
20,Madhya Pradesh,0,1056351,1045565,10786,0,1056351,1045565,10786,,,23,0
21,Maharashtra,70,8170135,8021509,148556,70,8170147,8021521,148556,,,27,0
22,Manipur,3,140031,137879,2149,3,140031,137879,2149,,,14,0
23,Meghalaya,2,96965,95335,1628,2,96965,95335,1628,,,17,0
24,Mizoram,0,239555,238821,734,0,239555,238821,734,,,15,0
25,Nagaland,1,36032,35249,782,1,36032,35249,782,,,13,0
26,Odisha,13,1348362,1339081,9215,10,1348362,1339084,9215,,,21,0
27,Puducherry,0,177545,175564,1981,0,177545,175564,1981,,,34,0
28,Punjab**,3,793636,773067,19338,2,793636,773068,19338,,,03,0
29,Rajasthan,0,1326461,1316725,9736,0,1326461,1316725,9736,,,08,0
30,Sikkim,4,44879,44375,500,4,44879,44375,500,,,11,0
31,Tamil Nadu,9,3610628,3572538,38081,7,3610628,3572540,38081,,,33,0
32,Telangana,6,844387,840270,4111,6,844388,840271,4111,,,36,0
33,Tripura,26,108418,107451,941,25,108420,107454,941,,,16,0
34,Uttarakhand,2,452560,444790,7768,1,452560,444791,7768,,,05,0
35,Uttar Pradesh,64,2145413,2121642,23707,64,2145413,2121642,23707,,,09,0
36,West Bengal,179,2125732,2104001,21552,190,2125750,2104008,21552,,,19,0
37,,1464,44996869,44462208,531916,1467,44996910,44462245,531917,,1,00,1
